python3 08_dqn_rainbow.py --cuda
144005: done 185 games, mean reward -20.880, speed 77.90 f/s
144827: done 186 games, mean reward -20.880, speed 77.67 f/s
145644: done 187 games, mean reward -20.880, speed 77.93 f/s
146461: done 188 games, mean reward -20.880, speed 78.08 f/s
147329: done 189 games, mean reward -20.880, speed 78.17 f/s
148206: done 190 games, mean reward -20.880, speed 77.94 f/s
148964: done 191 games, mean reward -20.880, speed 78.18 f/s
149788: done 192 games, mean reward -20.880, speed 78.47 f/s
150690: done 193 games, mean reward -20.870, speed 78.13 f/s
151451: done 194 games, mean reward -20.870, speed 77.60 f/s
152270: done 195 games, mean reward -20.870, speed 75.53 f/s
153121: done 196 games, mean reward -20.870, speed 76.16 f/s
153882: done 197 games, mean reward -20.870, speed 77.05 f/s
154638: done 198 games, mean reward -20.870, speed 77.00 f/s
155401: done 199 games, mean reward -20.870, speed 76.37 f/s
156225: done 200 games, mean reward -20.870, speed 74.87 f/s
156988: done 201 games, mean reward -20.870, speed 74.99 f/s
157835: done 202 games, mean reward -20.870, speed 76.31 f/s
158652: done 203 games, mean reward -20.870, speed 76.69 f/s
159411: done 204 games, mean reward -20.870, speed 76.55 f/s
160229: done 205 games, mean reward -20.870, speed 76.59 f/s
160988: done 206 games, mean reward -20.870, speed 75.55 f/s
161750: done 207 games, mean reward -20.870, speed 76.96 f/s
162510: done 208 games, mean reward -20.870, speed 77.30 f/s
163353: done 209 games, mean reward -20.870, speed 76.98 f/s
164172: done 210 games, mean reward -20.870, speed 77.25 f/s
164994: done 211 games, mean reward -20.870, speed 77.05 f/s
165817: done 212 games, mean reward -20.870, speed 77.07 f/s
166636: done 213 games, mean reward -20.870, speed 77.14 f/s
167454: done 214 games, mean reward -20.870, speed 77.11 f/s
168211: done 215 games, mean reward -20.870, speed 77.14 f/s
168972: done 216 games, mean reward -20.870, speed 76.59 f/s
169731: done 217 games, mean reward -20.870, speed 76.69 f/s
170547: done 218 games, mean reward -20.870, speed 76.29 f/s
171428: done 219 games, mean reward -20.870, speed 76.40 f/s
172328: done 220 games, mean reward -20.860, speed 76.36 f/s
173149: done 221 games, mean reward -20.860, speed 76.52 f/s
174032: done 222 games, mean reward -20.860, speed 76.81 f/s
174871: done 223 games, mean reward -20.860, speed 76.87 f/s
175690: done 224 games, mean reward -20.860, speed 76.67 f/s
176527: done 225 games, mean reward -20.860, speed 76.65 f/s
177363: done 226 games, mean reward -20.860, speed 76.93 f/s
178139: done 227 games, mean reward -20.860, speed 77.19 f/s
179035: done 228 games, mean reward -20.850, speed 76.95 f/s
179858: done 229 games, mean reward -20.850, speed 77.09 f/s
180679: done 230 games, mean reward -20.850, speed 76.82 f/s
181620: done 231 games, mean reward -20.850, speed 76.82 f/s
182381: done 232 games, mean reward -20.850, speed 76.99 f/s
183143: done 233 games, mean reward -20.850, speed 77.21 f/s
184092: done 234 games, mean reward -20.840, speed 76.70 f/s
184912: done 235 games, mean reward -20.840, speed 76.64 f/s
185673: done 236 games, mean reward -20.840, speed 76.26 f/s
186434: done 237 games, mean reward -20.840, speed 76.88 f/s
187215: done 238 games, mean reward -20.840, speed 76.79 f/s
188033: done 239 games, mean reward -20.840, speed 76.43 f/s
188855: done 240 games, mean reward -20.840, speed 76.45 f/s
189617: done 241 games, mean reward -20.860, speed 76.57 f/s
190379: done 242 games, mean reward -20.860, speed 76.36 f/s
191138: done 243 games, mean reward -20.860, speed 76.33 f/s
191956: done 244 games, mean reward -20.860, speed 76.71 f/s
192776: done 245 games, mean reward -20.870, speed 76.24 f/s
193716: done 246 games, mean reward -20.870, speed 76.76 f/s
194534: done 247 games, mean reward -20.870, speed 76.98 f/s
195351: done 248 games, mean reward -20.870, speed 77.03 f/s
196173: done 249 games, mean reward -20.870, speed 76.83 f/s
197007: done 250 games, mean reward -20.860, speed 77.31 f/s
197826: done 251 games, mean reward -20.860, speed 76.89 f/s
198615: done 252 games, mean reward -20.860, speed 76.94 f/s
199570: done 253 games, mean reward -20.850, speed 76.83 f/s
200331: done 254 games, mean reward -20.850, speed 76.60 f/s
201150: done 255 games, mean reward -20.860, speed 76.69 f/s
201973: done 256 games, mean reward -20.860, speed 76.69 f/s
202732: done 257 games, mean reward -20.860, speed 76.49 f/s
203509: done 258 games, mean reward -20.860, speed 76.37 f/s
204549: done 259 games, mean reward -20.850, speed 76.22 f/s
205430: done 260 games, mean reward -20.850, speed 76.41 f/s
206326: done 261 games, mean reward -20.840, speed 76.29 f/s
207145: done 262 games, mean reward -20.840, speed 76.81 f/s
207966: done 263 games, mean reward -20.840, speed 76.26 f/s
208784: done 264 games, mean reward -20.840, speed 76.49 f/s
209605: done 265 games, mean reward -20.840, speed 76.94 f/s
210426: done 266 games, mean reward -20.840, speed 76.90 f/s
211309: done 267 games, mean reward -20.840, speed 76.91 f/s
212068: done 268 games, mean reward -20.840, speed 76.93 f/s
212827: done 269 games, mean reward -20.840, speed 74.66 f/s
213644: done 270 games, mean reward -20.840, speed 75.48 f/s
214462: done 271 games, mean reward -20.850, speed 75.48 f/s
215283: done 272 games, mean reward -20.850, speed 76.63 f/s
216102: done 273 games, mean reward -20.860, speed 76.72 f/s
216865: done 274 games, mean reward -20.870, speed 76.87 f/s
217623: done 275 games, mean reward -20.880, speed 76.61 f/s
218448: done 276 games, mean reward -20.880, speed 76.31 f/s
219455: done 277 games, mean reward -20.890, speed 76.17 f/s
220218: done 278 games, mean reward -20.890, speed 74.55 f/s
221039: done 279 games, mean reward -20.900, speed 75.08 f/s
221938: done 280 games, mean reward -20.900, speed 74.30 f/s
222762: done 281 games, mean reward -20.900, speed 74.81 f/s
223738: done 282 games, mean reward -20.900, speed 74.51 f/s
224558: done 283 games, mean reward -20.900, speed 75.49 f/s
225398: done 284 games, mean reward -20.910, speed 75.83 f/s
226249: done 285 games, mean reward -20.910, speed 76.84 f/s
227209: done 286 games, mean reward -20.910, speed 74.75 f/s
227967: done 287 games, mean reward -20.910, speed 75.12 f/s
228774: done 288 games, mean reward -20.910, speed 75.09 f/s
229670: done 289 games, mean reward -20.910, speed 74.82 f/s
230607: done 290 games, mean reward -20.910, speed 75.31 f/s
231524: done 291 games, mean reward -20.900, speed 75.76 f/s
232283: done 292 games, mean reward -20.900, speed 75.65 f/s
233043: done 293 games, mean reward -20.910, speed 75.66 f/s
233821: done 294 games, mean reward -20.910, speed 77.02 f/s
234577: done 295 games, mean reward -20.910, speed 77.18 f/s
235367: done 296 games, mean reward -20.910, speed 78.40 f/s
236129: done 297 games, mean reward -20.910, speed 81.30 f/s
236885: done 298 games, mean reward -20.910, speed 79.70 f/s
237642: done 299 games, mean reward -20.910, speed 79.41 f/s
238400: done 300 games, mean reward -20.910, speed 80.27 f/s
239157: done 301 games, mean reward -20.910, speed 79.96 f/s
239920: done 302 games, mean reward -20.910, speed 79.86 f/s
240680: done 303 games, mean reward -20.910, speed 81.99 f/s
241500: done 304 games, mean reward -20.910, speed 81.94 f/s
242263: done 305 games, mean reward -20.910, speed 81.37 f/s
243025: done 306 games, mean reward -20.910, speed 81.38 f/s
243811: done 307 games, mean reward -20.910, speed 80.88 f/s
244573: done 308 games, mean reward -20.910, speed 80.08 f/s
245456: done 309 games, mean reward -20.910, speed 79.31 f/s
246278: done 310 games, mean reward -20.910, speed 79.97 f/s
247040: done 311 games, mean reward -20.910, speed 80.46 f/s
247821: done 312 games, mean reward -20.910, speed 80.58 f/s
248584: done 313 games, mean reward -20.910, speed 81.12 f/s
249370: done 314 games, mean reward -20.910, speed 80.00 f/s
250203: done 315 games, mean reward -20.900, speed 80.86 f/s
251072: done 316 games, mean reward -20.900, speed 80.72 f/s
251891: done 317 games, mean reward -20.900, speed 81.63 f/s
252648: done 318 games, mean reward -20.900, speed 81.33 f/s
253470: done 319 games, mean reward -20.900, speed 78.94 f/s
254291: done 320 games, mean reward -20.910, speed 81.00 f/s
255312: done 321 games, mean reward -20.900, speed 81.07 f/s
256330: done 322 games, mean reward -20.890, speed 81.17 f/s
257152: done 323 games, mean reward -20.890, speed 80.25 f/s
258110: done 324 games, mean reward -20.890, speed 80.54 f/s
258868: done 325 games, mean reward -20.890, speed 80.89 f/s
259626: done 326 games, mean reward -20.890, speed 81.10 f/s
260521: done 327 games, mean reward -20.880, speed 79.51 f/s
261282: done 328 games, mean reward -20.890, speed 79.69 f/s
262045: done 329 games, mean reward -20.890, speed 77.18 f/s
262808: done 330 games, mean reward -20.890, speed 77.09 f/s
263567: done 331 games, mean reward -20.890, speed 76.85 f/s
264325: done 332 games, mean reward -20.890, speed 76.51 f/s
265148: done 333 games, mean reward -20.890, speed 77.29 f/s
265968: done 334 games, mean reward -20.900, speed 78.51 f/s
266812: done 335 games, mean reward -20.900, speed 79.67 f/s
267812: done 336 games, mean reward -20.900, speed 80.63 f/s
268591: done 337 games, mean reward -20.900, speed 81.69 f/s
269378: done 338 games, mean reward -20.900, speed 81.66 f/s
270216: done 339 games, mean reward -20.890, speed 81.14 f/s
271233: done 340 games, mean reward -20.880, speed 81.79 f/s
272420: done 341 games, mean reward -20.880, speed 80.81 f/s
273241: done 342 games, mean reward -20.880, speed 80.55 f/s
274124: done 343 games, mean reward -20.880, speed 79.66 f/s
275053: done 344 games, mean reward -20.880, speed 80.59 f/s
275986: done 345 games, mean reward -20.860, speed 79.13 f/s
276899: done 346 games, mean reward -20.860, speed 80.92 f/s
277720: done 347 games, mean reward -20.860, speed 80.00 f/s
278745: done 348 games, mean reward -20.860, speed 80.01 f/s
279750: done 349 games, mean reward -20.850, speed 80.27 f/s
280976: done 350 games, mean reward -20.840, speed 81.18 f/s
281931: done 351 games, mean reward -20.830, speed 81.31 f/s
282756: done 352 games, mean reward -20.830, speed 79.39 f/s
283849: done 353 games, mean reward -20.840, speed 81.24 f/s
284879: done 354 games, mean reward -20.840, speed 80.14 f/s
286214: done 355 games, mean reward -20.800, speed 81.44 f/s
287312: done 356 games, mean reward -20.790, speed 80.59 f/s
288871: done 357 games, mean reward -20.770, speed 82.19 f/s
290382: done 358 games, mean reward -20.760, speed 82.04 f/s
292099: done 359 games, mean reward -20.730, speed 83.13 f/s
293175: done 360 games, mean reward -20.720, speed 83.37 f/s
294778: done 361 games, mean reward -20.700, speed 82.85 f/s
