153535: done 185 games, mean reward -20.670, speed 5.26 f/s
154461: done 186 games, mean reward -20.650, speed 5.23 f/s
155299: done 187 games, mean reward -20.640, speed 5.25 f/s
156055: done 188 games, mean reward -20.640, speed 5.27 f/s
156873: done 189 games, mean reward -20.640, speed 5.23 f/s
157630: done 190 games, mean reward -20.650, speed 5.27 f/s
158411: done 191 games, mean reward -20.650, speed 5.23 f/s
159170: done 192 games, mean reward -20.650, speed 5.26 f/s
159991: done 193 games, mean reward -20.650, speed 5.27 f/s
160870: done 194 games, mean reward -20.660, speed 5.21 f/s
161633: done 195 games, mean reward -20.660, speed 5.26 f/s
162392: done 196 games, mean reward -20.670, speed 5.22 f/s
163275: done 197 games, mean reward -20.680, speed 5.26 f/s
164096: done 198 games, mean reward -20.680, speed 5.27 f/s
164857: done 199 games, mean reward -20.690, speed 5.21 f/s
165614: done 200 games, mean reward -20.700, speed 5.27 f/s
166371: done 201 games, mean reward -20.710, speed 5.27 f/s
167193: done 202 games, mean reward -20.720, speed 5.24 f/s
167954: done 203 games, mean reward -20.730, speed 5.28 f/s
168717: done 204 games, mean reward -20.730, speed 5.22 f/s
169478: done 205 games, mean reward -20.750, speed 5.26 f/s
170235: done 206 games, mean reward -20.750, speed 5.27 f/s
171053: done 207 games, mean reward -20.760, speed 5.13 f/s
171839: done 208 games, mean reward -20.760, speed 5.24 f/s
172599: done 209 games, mean reward -20.770, speed 5.23 f/s
173537: done 210 games, mean reward -20.770, speed 5.23 f/s
174300: done 211 games, mean reward -20.780, speed 5.25 f/s
175061: done 212 games, mean reward -20.780, speed 5.16 f/s
175971: done 213 games, mean reward -20.770, speed 5.26 f/s
176759: done 214 games, mean reward -20.770, speed 5.22 f/s
177522: done 215 games, mean reward -20.770, speed 5.14 f/s
178284: done 216 games, mean reward -20.780, speed 5.11 f/s
179042: done 217 games, mean reward -20.780, speed 5.23 f/s
179940: done 218 games, mean reward -20.770, speed 5.23 f/s
180775: done 219 games, mean reward -20.770, speed 5.25 f/s
181690: done 220 games, mean reward -20.760, speed 5.23 f/s
182689: done 221 games, mean reward -20.740, speed 5.16 f/s
183530: done 222 games, mean reward -20.740, speed 5.03 f/s
184287: done 223 games, mean reward -20.740, speed 4.85 f/s
185048: done 224 games, mean reward -20.740, speed 4.68 f/s
185804: done 225 games, mean reward -20.750, speed 4.65 f/s
186567: done 226 games, mean reward -20.760, speed 4.66 f/s
187474: done 227 games, mean reward -20.760, speed 4.66 f/s
188230: done 228 games, mean reward -20.770, speed 4.82 f/s
188993: done 229 games, mean reward -20.780, speed 5.10 f/s
189751: done 230 games, mean reward -20.780, speed 5.21 f/s
190511: done 231 games, mean reward -20.790, speed 5.10 f/s
191270: done 232 games, mean reward -20.790, speed 4.71 f/s
192028: done 233 games, mean reward -20.790, speed 5.24 f/s
192866: done 234 games, mean reward -20.780, speed 4.78 f/s
193627: done 235 games, mean reward -20.780, speed 4.74 f/s
194387: done 236 games, mean reward -20.780, speed 4.73 f/s
195272: done 237 games, mean reward -20.790, speed 4.72 f/s
196185: done 238 games, mean reward -20.790, speed 5.06 f/s
197023: done 239 games, mean reward -20.790, speed 5.01 f/s
197861: done 240 games, mean reward -20.790, speed 4.78 f/s
198772: done 241 games, mean reward -20.790, speed 4.88 f/s
199607: done 242 games, mean reward -20.780, speed 4.76 f/s
200369: done 243 games, mean reward -20.780, speed 4.77 f/s
201221: done 244 games, mean reward -20.780, speed 4.82 f/s
201983: done 245 games, mean reward -20.790, speed 4.95 f/s
202745: done 246 games, mean reward -20.790, speed 4.92 f/s
203504: done 247 games, mean reward -20.790, speed 4.93 f/s
204267: done 248 games, mean reward -20.790, speed 4.94 f/s
205106: done 249 games, mean reward -20.780, speed 4.95 f/s
205864: done 250 games, mean reward -20.780, speed 4.95 f/s
206626: done 251 games, mean reward -20.790, speed 4.93 f/s
207384: done 252 games, mean reward -20.790, speed 4.97 f/s
208147: done 253 games, mean reward -20.790, speed 4.96 f/s
208959: done 254 games, mean reward -20.790, speed 4.94 f/s
209721: done 255 games, mean reward -20.790, speed 5.01 f/s
210505: done 256 games, mean reward -20.790, speed 5.01 f/s
211289: done 257 games, mean reward -20.790, speed 5.08 f/s
212080: done 258 games, mean reward -20.790, speed 4.99 f/s
212842: done 259 games, mean reward -20.790, speed 5.03 f/s
213603: done 260 games, mean reward -20.790, speed 5.08 f/s
214359: done 261 games, mean reward -20.790, speed 4.62 f/s
215116: done 262 games, mean reward -20.790, speed 4.43 f/s
215874: done 263 games, mean reward -20.790, speed 4.44 f/s
216633: done 264 games, mean reward -20.790, speed 4.45 f/s
217418: done 265 games, mean reward -20.790, speed 4.46 f/s
218440: done 266 games, mean reward -20.760, speed 4.54 f/s
219270: done 267 games, mean reward -20.750, speed 4.48 f/s
220076: done 268 games, mean reward -20.750, speed 4.47 f/s
220958: done 269 games, mean reward -20.750, speed 4.49 f/s
221738: done 270 games, mean reward -20.760, speed 4.48 f/s
222577: done 271 games, mean reward -20.750, speed 4.47 f/s
223335: done 272 games, mean reward -20.750, speed 4.52 f/s
224091: done 273 games, mean reward -20.760, speed 4.45 f/s
224849: done 274 games, mean reward -20.760, speed 4.46 f/s
225609: done 275 games, mean reward -20.770, speed 4.46 f/s
226395: done 276 games, mean reward -20.770, speed 4.42 f/s
227215: done 277 games, mean reward -20.770, speed 4.46 f/s
227972: done 278 games, mean reward -20.770, speed 4.71 f/s
228734: done 279 games, mean reward -20.770, speed 4.84 f/s
229552: done 280 games, mean reward -20.770, speed 4.75 f/s
230329: done 281 games, mean reward -20.770, speed 4.73 f/s
231147: done 282 games, mean reward -20.770, speed 4.73 f/s
231908: done 283 games, mean reward -20.780, speed 4.71 f/s
232670: done 284 games, mean reward -20.790, speed 4.71 f/s
233431: done 285 games, mean reward -20.790, speed 4.82 f/s
234217: done 286 games, mean reward -20.810, speed 4.91 f/s
234997: done 287 games, mean reward -20.820, speed 4.83 f/s
236056: done 288 games, mean reward -20.820, speed 4.72 f/s
236816: done 289 games, mean reward -20.820, speed 4.68 f/s
237633: done 290 games, mean reward -20.820, speed 4.69 f/s
238391: done 291 games, mean reward -20.820, speed 4.75 f/s
239154: done 292 games, mean reward -20.820, speed 4.70 f/s
239910: done 293 games, mean reward -20.820, speed 4.70 f/s
240733: done 294 games, mean reward -20.820, speed 4.71 f/s
241494: done 295 games, mean reward -20.820, speed 4.75 f/s
242252: done 296 games, mean reward -20.820, speed 4.99 f/s
243143: done 297 games, mean reward -20.810, speed 4.74 f/s
243899: done 298 games, mean reward -20.810, speed 4.74 f/s
244717: done 299 games, mean reward -20.810, speed 4.73 f/s
245541: done 300 games, mean reward -20.810, speed 4.73 f/s
246300: done 301 games, mean reward -20.810, speed 4.73 f/s
247061: done 302 games, mean reward -20.810, speed 4.74 f/s
247817: done 303 games, mean reward -20.810, speed 5.04 f/s
248758: done 304 games, mean reward -20.810, speed 4.98 f/s
249518: done 305 games, mean reward -20.810, speed 5.10 f/s
250279: done 306 games, mean reward -20.810, speed 5.09 f/s
251039: done 307 games, mean reward -20.810, speed 4.83 f/s
251799: done 308 games, mean reward -20.810, speed 4.70 f/s
252636: done 309 games, mean reward -20.800, speed 4.72 f/s
253490: done 310 games, mean reward -20.810, speed 5.00 f/s
254250: done 311 games, mean reward -20.810, speed 4.74 f/s
255010: done 312 games, mean reward -20.810, speed 4.70 f/s
255771: done 313 games, mean reward -20.820, speed 4.68 f/s
256649: done 314 games, mean reward -20.820, speed 4.76 f/s
257407: done 315 games, mean reward -20.820, speed 4.72 f/s
258170: done 316 games, mean reward -20.820, speed 4.77 f/s
258956: done 317 games, mean reward -20.820, speed 4.77 f/s
259713: done 318 games, mean reward -20.830, speed 4.77 f/s
260590: done 319 games, mean reward -20.840, speed 4.73 f/s
261409: done 320 games, mean reward -20.850, speed 4.71 f/s
262244: done 321 games, mean reward -20.860, speed 4.73 f/s
263000: done 322 games, mean reward -20.860, speed 4.70 f/s
263759: done 323 games, mean reward -20.860, speed 4.76 f/s
264534: done 324 games, mean reward -20.860, speed 4.74 f/s
265369: done 325 games, mean reward -20.850, speed 4.72 f/s
266193: done 326 games, mean reward -20.850, speed 4.76 f/s
266954: done 327 games, mean reward -20.850, speed 4.76 f/s
267785: done 328 games, mean reward -20.840, speed 4.72 f/s
268741: done 329 games, mean reward -20.830, speed 4.72 f/s
269610: done 330 games, mean reward -20.820, speed 4.68 f/s
270399: done 331 games, mean reward -20.820, speed 4.76 f/s
271160: done 332 games, mean reward -20.820, speed 4.78 f/s
271952: done 333 games, mean reward -20.820, speed 5.11 f/s
272711: done 334 games, mean reward -20.830, speed 5.10 f/s
273472: done 335 games, mean reward -20.830, speed 5.09 f/s
274289: done 336 games, mean reward -20.830, speed 5.07 f/s
275045: done 337 games, mean reward -20.830, speed 5.13 f/s
275863: done 338 games, mean reward -20.840, speed 5.11 f/s
276623: done 339 games, mean reward -20.850, speed 5.03 f/s
277385: done 340 games, mean reward -20.860, speed 5.08 f/s
278144: done 341 games, mean reward -20.860, speed 5.05 f/s
278903: done 342 games, mean reward -20.870, speed 5.11 f/s
