python3 04_dqn_noisy_net.py --cuda
147090: done 167 games, mean reward -20.370, speed 148.88 f/s
148046: done 168 games, mean reward -20.370, speed 150.58 f/s
149014: done 169 games, mean reward -20.370, speed 146.54 f/s
149804: done 170 games, mean reward -20.370, speed 149.35 f/s
150783: done 171 games, mean reward -20.350, speed 150.62 f/s
151780: done 172 games, mean reward -20.360, speed 152.10 f/s
152616: done 173 games, mean reward -20.350, speed 154.58 f/s
153616: done 174 games, mean reward -20.350, speed 156.36 f/s
154480: done 175 games, mean reward -20.370, speed 156.89 f/s
155237: done 176 games, mean reward -20.400, speed 156.60 f/s
156106: done 177 games, mean reward -20.400, speed 155.30 f/s
156986: done 178 games, mean reward -20.410, speed 155.36 f/s
157883: done 179 games, mean reward -20.400, speed 152.30 f/s
158862: done 180 games, mean reward -20.390, speed 148.32 f/s
159646: done 181 games, mean reward -20.390, speed 147.20 f/s
160553: done 182 games, mean reward -20.390, speed 152.85 f/s
161404: done 183 games, mean reward -20.390, speed 153.47 f/s
162363: done 184 games, mean reward -20.380, speed 157.54 f/s
163204: done 185 games, mean reward -20.380, speed 157.35 f/s
164091: done 186 games, mean reward -20.400, speed 157.33 f/s
164912: done 187 games, mean reward -20.410, speed 149.27 f/s
165795: done 188 games, mean reward -20.420, speed 154.19 f/s
166555: done 189 games, mean reward -20.430, speed 152.39 f/s
167450: done 190 games, mean reward -20.420, speed 146.48 f/s
168230: done 191 games, mean reward -20.430, speed 150.62 f/s
169047: done 192 games, mean reward -20.430, speed 152.11 f/s
169869: done 193 games, mean reward -20.430, speed 150.33 f/s
170751: done 194 games, mean reward -20.450, speed 153.46 f/s
171574: done 195 games, mean reward -20.470, speed 152.64 f/s
172470: done 196 games, mean reward -20.460, speed 154.59 f/s
173355: done 197 games, mean reward -20.470, speed 149.69 f/s
174116: done 198 games, mean reward -20.470, speed 148.88 f/s
175057: done 199 games, mean reward -20.460, speed 155.36 f/s
175875: done 200 games, mean reward -20.460, speed 151.16 f/s
176786: done 201 games, mean reward -20.460, speed 150.98 f/s
177916: done 202 games, mean reward -20.450, speed 151.02 f/s
178702: done 203 games, mean reward -20.450, speed 150.05 f/s
179585: done 204 games, mean reward -20.450, speed 150.88 f/s
180348: done 205 games, mean reward -20.460, speed 154.01 f/s
181318: done 206 games, mean reward -20.440, speed 156.57 f/s
182199: done 207 games, mean reward -20.440, speed 155.20 f/s
183075: done 208 games, mean reward -20.440, speed 153.02 f/s
183900: done 209 games, mean reward -20.450, speed 151.06 f/s
184946: done 210 games, mean reward -20.450, speed 148.24 f/s
185907: done 211 games, mean reward -20.450, speed 155.00 f/s
186842: done 212 games, mean reward -20.450, speed 154.52 f/s
