python3 03_dqn_double.py --cuda --double
391814: done 181 games, mean reward -3.580, speed 141.99 f/s, eps 0.02
393866: done 182 games, mean reward -3.250, speed 143.52 f/s, eps 0.02
396367: done 183 games, mean reward -2.960, speed 141.70 f/s, eps 0.02
398812: done 184 games, mean reward -2.630, speed 144.78 f/s, eps 0.02
400738: done 185 games, mean reward -2.360, speed 134.52 f/s, eps 0.02
402716: done 186 games, mean reward -2.030, speed 136.87 f/s, eps 0.02
404840: done 187 games, mean reward -1.680, speed 152.56 f/s, eps 0.02
406727: done 188 games, mean reward -1.380, speed 149.36 f/s, eps 0.02
408422: done 189 games, mean reward -1.050, speed 146.66 f/s, eps 0.02
410521: done 190 games, mean reward -0.790, speed 150.17 f/s, eps 0.02
412556: done 191 games, mean reward -0.520, speed 150.54 f/s, eps 0.02
414491: done 192 games, mean reward -0.220, speed 150.91 f/s, eps 0.02
416477: done 193 games, mean reward 0.050, speed 152.33 f/s, eps 0.02
418399: done 194 games, mean reward 0.310, speed 153.16 f/s, eps 0.02
421026: done 195 games, mean reward 0.600, speed 152.23 f/s, eps 0.02
422851: done 196 games, mean reward 0.950, speed 153.12 f/s, eps 0.02
424833: done 197 games, mean reward 1.320, speed 152.92 f/s, eps 0.02
426943: done 198 games, mean reward 1.580, speed 152.32 f/s, eps 0.02
429068: done 199 games, mean reward 1.830, speed 153.99 f/s, eps 0.02
430873: done 200 games, mean reward 2.150, speed 152.35 f/s, eps 0.02
433284: done 201 games, mean reward 2.470, speed 150.76 f/s, eps 0.02
435373: done 202 games, mean reward 2.700, speed 144.40 f/s, eps 0.02
437272: done 203 games, mean reward 3.070, speed 145.75 f/s, eps 0.02
439353: done 204 games, mean reward 3.370, speed 145.13 f/s, eps 0.02
442097: done 205 games, mean reward 3.510, speed 143.16 f/s, eps 0.02
443734: done 206 games, mean reward 3.850, speed 143.01 f/s, eps 0.02
445494: done 207 games, mean reward 4.180, speed 151.17 f/s, eps 0.02
447651: done 208 games, mean reward 4.480, speed 152.43 f/s, eps 0.02
449464: done 209 games, mean reward 4.810, speed 154.84 f/s, eps 0.02
451674: done 210 games, mean reward 5.070, speed 154.19 f/s, eps 0.02
453408: done 211 games, mean reward 5.380, speed 153.92 f/s, eps 0.02
455685: done 212 games, mean reward 5.580, speed 154.70 f/s, eps 0.02
457608: done 213 games, mean reward 5.890, speed 153.75 f/s, eps 0.02
459565: done 214 games, mean reward 6.190, speed 153.24 f/s, eps 0.02
461877: done 215 games, mean reward 6.460, speed 154.27 f/s, eps 0.02
464558: done 216 games, mean reward 6.620, speed 154.18 f/s, eps 0.02
466867: done 217 games, mean reward 6.900, speed 153.69 f/s, eps 0.02
468638: done 218 games, mean reward 7.250, speed 152.59 f/s, eps 0.02
471359: done 219 games, mean reward 7.500, speed 153.89 f/s, eps 0.02
473308: done 220 games, mean reward 7.770, speed 154.12 f/s, eps 0.02
476079: done 221 games, mean reward 8.020, speed 154.39 f/s, eps 0.02
477977: done 222 games, mean reward 8.360, speed 154.44 f/s, eps 0.02
479971: done 223 games, mean reward 8.600, speed 154.15 f/s, eps 0.02
482031: done 224 games, mean reward 8.750, speed 154.54 f/s, eps 0.02
483891: done 225 games, mean reward 8.990, speed 154.96 f/s, eps 0.02
486378: done 226 games, mean reward 9.300, speed 154.20 f/s, eps 0.02
489033: done 227 games, mean reward 9.530, speed 155.05 f/s, eps 0.02
490968: done 228 games, mean reward 9.810, speed 154.96 f/s, eps 0.02
492817: done 229 games, mean reward 10.170, speed 154.54 f/s, eps 0.02
494725: done 230 games, mean reward 10.380, speed 155.12 f/s, eps 0.02
496889: done 231 games, mean reward 10.680, speed 154.99 f/s, eps 0.02
498683: done 232 games, mean reward 10.990, speed 153.70 f/s, eps 0.02
500577: done 233 games, mean reward 11.220, speed 154.93 f/s, eps 0.02
502469: done 234 games, mean reward 11.460, speed 153.67 f/s, eps 0.02
504345: done 235 games, mean reward 11.810, speed 153.82 f/s, eps 0.02
506608: done 236 games, mean reward 12.110, speed 147.52 f/s, eps 0.02
508423: done 237 games, mean reward 12.400, speed 147.87 f/s, eps 0.02
510269: done 238 games, mean reward 12.620, speed 150.34 f/s, eps 0.02
512127: done 239 games, mean reward 12.850, speed 150.54 f/s, eps 0.02
514350: done 240 games, mean reward 12.980, speed 151.13 f/s, eps 0.02
516130: done 241 games, mean reward 13.250, speed 150.18 f/s, eps 0.02
518283: done 242 games, mean reward 13.410, speed 150.38 f/s, eps 0.02
520146: done 243 games, mean reward 13.590, speed 150.80 f/s, eps 0.02
521952: done 244 games, mean reward 13.830, speed 151.92 f/s, eps 0.02
523871: done 245 games, mean reward 14.060, speed 151.21 f/s, eps 0.02
525542: done 246 games, mean reward 14.290, speed 150.90 f/s, eps 0.02
527796: done 247 games, mean reward 14.380, speed 151.68 f/s, eps 0.02
529509: done 248 games, mean reward 14.610, speed 150.91 f/s, eps 0.02
531346: done 249 games, mean reward 14.770, speed 150.30 f/s, eps 0.02
533399: done 250 games, mean reward 14.970, speed 151.40 f/s, eps 0.02
535509: done 251 games, mean reward 15.030, speed 150.05 f/s, eps 0.02
