PGN(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
25325: reward: 200.00, mean_100: 168.95, episodes: 208
25526: reward: 200.00, mean_100: 168.95, episodes: 209
25727: reward: 200.00, mean_100: 170.22, episodes: 210
25928: reward: 200.00, mean_100: 170.22, episodes: 211
26129: reward: 200.00, mean_100: 170.22, episodes: 212
26330: reward: 200.00, mean_100: 170.22, episodes: 213
26531: reward: 200.00, mean_100: 170.22, episodes: 214
26732: reward: 200.00, mean_100: 170.22, episodes: 215
26933: reward: 200.00, mean_100: 170.22, episodes: 216
27134: reward: 200.00, mean_100: 170.22, episodes: 217
27335: reward: 200.00, mean_100: 170.22, episodes: 218
27536: reward: 200.00, mean_100: 170.22, episodes: 219
27737: reward: 200.00, mean_100: 170.22, episodes: 220
27938: reward: 200.00, mean_100: 170.93, episodes: 221
28139: reward: 200.00, mean_100: 170.94, episodes: 222
28340: reward: 200.00, mean_100: 170.94, episodes: 223
28541: reward: 200.00, mean_100: 171.62, episodes: 224
28742: reward: 200.00, mean_100: 171.62, episodes: 225
28943: reward: 200.00, mean_100: 171.90, episodes: 226
29144: reward: 200.00, mean_100: 172.23, episodes: 227
29345: reward: 200.00, mean_100: 172.23, episodes: 228
29546: reward: 200.00, mean_100: 172.58, episodes: 229
29747: reward: 200.00, mean_100: 172.70, episodes: 230
29948: reward: 200.00, mean_100: 172.70, episodes: 231
30149: reward: 200.00, mean_100: 172.70, episodes: 232
30350: reward: 200.00, mean_100: 172.70, episodes: 233
30551: reward: 200.00, mean_100: 172.70, episodes: 234
30738: reward: 186.00, mean_100: 172.66, episodes: 235
30899: reward: 160.00, mean_100: 172.26, episodes: 236
31049: reward: 149.00, mean_100: 171.75, episodes: 237
31228: reward: 178.00, mean_100: 171.53, episodes: 238
31372: reward: 143.00, mean_100: 171.10, episodes: 239
31573: reward: 200.00, mean_100: 171.10, episodes: 240
31767: reward: 193.00, mean_100: 171.03, episodes: 241
31945: reward: 177.00, mean_100: 170.80, episodes: 242
32146: reward: 200.00, mean_100: 170.80, episodes: 243
32329: reward: 182.00, mean_100: 170.62, episodes: 244
32530: reward: 200.00, mean_100: 170.62, episodes: 245
32691: reward: 160.00, mean_100: 170.22, episodes: 246
32847: reward: 155.00, mean_100: 169.77, episodes: 247
33001: reward: 153.00, mean_100: 169.30, episodes: 248
33150: reward: 148.00, mean_100: 168.78, episodes: 249
33304: reward: 153.00, mean_100: 168.31, episodes: 250
33473: reward: 168.00, mean_100: 167.99, episodes: 251
33625: reward: 151.00, mean_100: 167.50, episodes: 252
33825: reward: 199.00, mean_100: 168.18, episodes: 253
34026: reward: 200.00, mean_100: 168.18, episodes: 254
34206: reward: 179.00, mean_100: 168.78, episodes: 255
34368: reward: 161.00, mean_100: 168.39, episodes: 256
34492: reward: 123.00, mean_100: 167.62, episodes: 257
34624: reward: 131.00, mean_100: 166.93, episodes: 258
34760: reward: 135.00, mean_100: 166.28, episodes: 259
34916: reward: 155.00, mean_100: 165.83, episodes: 260
35051: reward: 134.00, mean_100: 165.17, episodes: 261
35117: reward:  65.00, mean_100: 163.82, episodes: 262
35253: reward: 135.00, mean_100: 163.17, episodes: 263
35391: reward: 137.00, mean_100: 163.26, episodes: 264
35511: reward: 119.00, mean_100: 162.45, episodes: 265
35650: reward: 138.00, mean_100: 162.11, episodes: 266
35799: reward: 148.00, mean_100: 161.59, episodes: 267
35984: reward: 184.00, mean_100: 161.52, episodes: 268
36159: reward: 174.00, mean_100: 161.26, episodes: 269
36284: reward: 124.00, mean_100: 161.41, episodes: 270
36431: reward: 146.00, mean_100: 161.55, episodes: 271
36593: reward: 161.00, mean_100: 161.28, episodes: 272
36747: reward: 153.00, mean_100: 161.48, episodes: 273
36895: reward: 147.00, mean_100: 162.72, episodes: 274
37069: reward: 173.00, mean_100: 163.44, episodes: 275
37224: reward: 154.00, mean_100: 163.45, episodes: 276
37397: reward: 172.00, mean_100: 163.50, episodes: 277
37598: reward: 200.00, mean_100: 164.18, episodes: 278
37782: reward: 183.00, mean_100: 164.93, episodes: 279
37917: reward: 134.00, mean_100: 165.36, episodes: 280
38057: reward: 139.00, mean_100: 165.76, episodes: 281
38192: reward: 134.00, mean_100: 166.30, episodes: 282
38296: reward: 103.00, mean_100: 166.19, episodes: 283
38416: reward: 119.00, mean_100: 166.08, episodes: 284
38547: reward: 130.00, mean_100: 166.16, episodes: 285
38729: reward: 181.00, mean_100: 166.82, episodes: 286
38872: reward: 142.00, mean_100: 167.22, episodes: 287
39054: reward: 181.00, mean_100: 168.77, episodes: 288
39209: reward: 154.00, mean_100: 168.45, episodes: 289
39362: reward: 152.00, mean_100: 168.20, episodes: 290
39544: reward: 181.00, mean_100: 168.33, episodes: 291
39651: reward: 106.00, mean_100: 168.13, episodes: 292
39770: reward: 118.00, mean_100: 167.31, episodes: 293
39877: reward: 106.00, mean_100: 166.37, episodes: 294
40010: reward: 132.00, mean_100: 166.16, episodes: 295
40127: reward: 116.00, mean_100: 165.98, episodes: 296
40256: reward: 128.00, mean_100: 165.89, episodes: 297
40385: reward: 128.00, mean_100: 165.67, episodes: 298
40517: reward: 131.00, mean_100: 165.26, episodes: 299
40659: reward: 141.00, mean_100: 165.33, episodes: 300
40794: reward: 134.00, mean_100: 165.30, episodes: 301
40952: reward: 157.00, mean_100: 165.65, episodes: 302
41133: reward: 180.00, mean_100: 165.45, episodes: 303
41319: reward: 185.00, mean_100: 165.48, episodes: 304
41486: reward: 166.00, mean_100: 165.80, episodes: 305
41664: reward: 177.00, mean_100: 166.07, episodes: 306
41792: reward: 127.00, mean_100: 165.68, episodes: 307
41933: reward: 140.00, mean_100: 165.08, episodes: 308
42066: reward: 132.00, mean_100: 164.40, episodes: 309
42211: reward: 144.00, mean_100: 163.84, episodes: 310
42385: reward: 173.00, mean_100: 163.57, episodes: 311
42533: reward: 147.00, mean_100: 163.04, episodes: 312
42716: reward: 182.00, mean_100: 162.86, episodes: 313
42907: reward: 190.00, mean_100: 162.76, episodes: 314
43079: reward: 171.00, mean_100: 162.47, episodes: 315
43207: reward: 127.00, mean_100: 161.74, episodes: 316
43331: reward: 123.00, mean_100: 160.97, episodes: 317
43486: reward: 154.00, mean_100: 160.51, episodes: 318
43653: reward: 166.00, mean_100: 160.17, episodes: 319
43801: reward: 147.00, mean_100: 159.64, episodes: 320
43933: reward: 131.00, mean_100: 158.95, episodes: 321
44050: reward: 116.00, mean_100: 158.11, episodes: 322
44137: reward:  86.00, mean_100: 156.97, episodes: 323
44253: reward: 115.00, mean_100: 156.12, episodes: 324
44372: reward: 118.00, mean_100: 155.30, episodes: 325
44494: reward: 121.00, mean_100: 154.51, episodes: 326
44613: reward: 118.00, mean_100: 153.69, episodes: 327
44729: reward: 115.00, mean_100: 152.84, episodes: 328
44868: reward: 138.00, mean_100: 152.22, episodes: 329
45033: reward: 164.00, mean_100: 151.86, episodes: 330
45197: reward: 163.00, mean_100: 151.49, episodes: 331
45375: reward: 177.00, mean_100: 151.26, episodes: 332
45536: reward: 160.00, mean_100: 150.86, episodes: 333
45728: reward: 191.00, mean_100: 150.77, episodes: 334
45910: reward: 181.00, mean_100: 150.72, episodes: 335
46111: reward: 200.00, mean_100: 151.12, episodes: 336
46312: reward: 200.00, mean_100: 151.63, episodes: 337
46513: reward: 200.00, mean_100: 151.85, episodes: 338
46678: reward: 164.00, mean_100: 152.06, episodes: 339
46806: reward: 127.00, mean_100: 151.33, episodes: 340
46961: reward: 154.00, mean_100: 150.94, episodes: 341
47122: reward: 160.00, mean_100: 150.77, episodes: 342
47323: reward: 200.00, mean_100: 150.77, episodes: 343
47524: reward: 200.00, mean_100: 150.95, episodes: 344
47725: reward: 200.00, mean_100: 150.95, episodes: 345
47926: reward: 200.00, mean_100: 151.35, episodes: 346
48127: reward: 200.00, mean_100: 151.80, episodes: 347
48328: reward: 200.00, mean_100: 152.27, episodes: 348
48529: reward: 200.00, mean_100: 152.79, episodes: 349
48730: reward: 200.00, mean_100: 153.26, episodes: 350
48931: reward: 200.00, mean_100: 153.58, episodes: 351
49132: reward: 200.00, mean_100: 154.07, episodes: 352
49333: reward: 200.00, mean_100: 154.08, episodes: 353
49534: reward: 200.00, mean_100: 154.08, episodes: 354
49735: reward: 200.00, mean_100: 154.29, episodes: 355
49921: reward: 185.00, mean_100: 154.53, episodes: 356
50122: reward: 200.00, mean_100: 155.30, episodes: 357
50323: reward: 200.00, mean_100: 155.99, episodes: 358
50510: reward: 186.00, mean_100: 156.50, episodes: 359
50697: reward: 186.00, mean_100: 156.81, episodes: 360
50864: reward: 166.00, mean_100: 157.13, episodes: 361
51032: reward: 167.00, mean_100: 158.15, episodes: 362
51185: reward: 152.00, mean_100: 158.32, episodes: 363
51326: reward: 140.00, mean_100: 158.35, episodes: 364
51491: reward: 164.00, mean_100: 158.80, episodes: 365
51647: reward: 155.00, mean_100: 158.97, episodes: 366
51776: reward: 128.00, mean_100: 158.77, episodes: 367
51884: reward: 107.00, mean_100: 158.00, episodes: 368
51999: reward: 114.00, mean_100: 157.40, episodes: 369
52129: reward: 129.00, mean_100: 157.45, episodes: 370
52289: reward: 159.00, mean_100: 157.58, episodes: 371
52436: reward: 146.00, mean_100: 157.43, episodes: 372
52587: reward: 150.00, mean_100: 157.40, episodes: 373
52712: reward: 124.00, mean_100: 157.17, episodes: 374
52841: reward: 128.00, mean_100: 156.72, episodes: 375
52969: reward: 127.00, mean_100: 156.45, episodes: 376
53106: reward: 136.00, mean_100: 156.09, episodes: 377
53249: reward: 142.00, mean_100: 155.51, episodes: 378
53358: reward: 108.00, mean_100: 154.76, episodes: 379
53487: reward: 128.00, mean_100: 154.70, episodes: 380
53636: reward: 148.00, mean_100: 154.79, episodes: 381
53777: reward: 140.00, mean_100: 154.85, episodes: 382
53939: reward: 161.00, mean_100: 155.43, episodes: 383
54085: reward: 145.00, mean_100: 155.69, episodes: 384
54237: reward: 151.00, mean_100: 155.90, episodes: 385
54363: reward: 125.00, mean_100: 155.34, episodes: 386
54480: reward: 116.00, mean_100: 155.08, episodes: 387
54591: reward: 110.00, mean_100: 154.37, episodes: 388
54705: reward: 113.00, mean_100: 153.96, episodes: 389
54869: reward: 163.00, mean_100: 154.07, episodes: 390
54999: reward: 129.00, mean_100: 153.55, episodes: 391
55144: reward: 144.00, mean_100: 153.93, episodes: 392
55297: reward: 152.00, mean_100: 154.27, episodes: 393
55443: reward: 145.00, mean_100: 154.66, episodes: 394
55568: reward: 124.00, mean_100: 154.58, episodes: 395
55705: reward: 136.00, mean_100: 154.78, episodes: 396
55842: reward: 136.00, mean_100: 154.86, episodes: 397
55975: reward: 132.00, mean_100: 154.90, episodes: 398
56094: reward: 118.00, mean_100: 154.77, episodes: 399
56224: reward: 129.00, mean_100: 154.65, episodes: 400
56337: reward: 112.00, mean_100: 154.43, episodes: 401
56468: reward: 130.00, mean_100: 154.16, episodes: 402
56609: reward: 140.00, mean_100: 153.76, episodes: 403
56744: reward: 134.00, mean_100: 153.25, episodes: 404
56882: reward: 137.00, mean_100: 152.96, episodes: 405
57037: reward: 154.00, mean_100: 152.73, episodes: 406
57158: reward: 120.00, mean_100: 152.66, episodes: 407
57288: reward: 129.00, mean_100: 152.55, episodes: 408
57435: reward: 146.00, mean_100: 152.69, episodes: 409
57587: reward: 151.00, mean_100: 152.76, episodes: 410
57713: reward: 125.00, mean_100: 152.28, episodes: 411
57855: reward: 141.00, mean_100: 152.22, episodes: 412
58019: reward: 163.00, mean_100: 152.03, episodes: 413
58193: reward: 173.00, mean_100: 151.86, episodes: 414
58330: reward: 136.00, mean_100: 151.51, episodes: 415
58470: reward: 139.00, mean_100: 151.63, episodes: 416
58587: reward: 116.00, mean_100: 151.56, episodes: 417
58718: reward: 130.00, mean_100: 151.32, episodes: 418
58854: reward: 135.00, mean_100: 151.01, episodes: 419
58984: reward: 129.00, mean_100: 150.83, episodes: 420
59080: reward:  95.00, mean_100: 150.47, episodes: 421
59186: reward: 105.00, mean_100: 150.36, episodes: 422
59308: reward: 121.00, mean_100: 150.71, episodes: 423
59446: reward: 137.00, mean_100: 150.93, episodes: 424
59601: reward: 154.00, mean_100: 151.29, episodes: 425
59728: reward: 126.00, mean_100: 151.34, episodes: 426
59889: reward: 160.00, mean_100: 151.76, episodes: 427
60068: reward: 178.00, mean_100: 152.39, episodes: 428
60262: reward: 193.00, mean_100: 152.94, episodes: 429
60454: reward: 191.00, mean_100: 153.21, episodes: 430
60616: reward: 161.00, mean_100: 153.19, episodes: 431
60817: reward: 200.00, mean_100: 153.42, episodes: 432
61018: reward: 200.00, mean_100: 153.82, episodes: 433
61219: reward: 200.00, mean_100: 153.91, episodes: 434
61413: reward: 193.00, mean_100: 154.03, episodes: 435
61614: reward: 200.00, mean_100: 154.03, episodes: 436
61815: reward: 200.00, mean_100: 154.03, episodes: 437
62016: reward: 200.00, mean_100: 154.03, episodes: 438
