DQN(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
24773: reward: 200.00, mean_100: 188.25, epsilon: 0.02, episodes: 240
24974: reward: 200.00, mean_100: 188.91, epsilon: 0.02, episodes: 241
25175: reward: 200.00, mean_100: 189.85, epsilon: 0.02, episodes: 242
25376: reward: 200.00, mean_100: 189.85, epsilon: 0.02, episodes: 243
25577: reward: 200.00, mean_100: 191.06, epsilon: 0.02, episodes: 244
25778: reward: 200.00, mean_100: 192.14, epsilon: 0.02, episodes: 245
25979: reward: 200.00, mean_100: 192.15, epsilon: 0.02, episodes: 246
26180: reward: 200.00, mean_100: 192.74, epsilon: 0.02, episodes: 247
26381: reward: 200.00, mean_100: 193.63, epsilon: 0.02, episodes: 248
26582: reward: 200.00, mean_100: 193.63, epsilon: 0.02, episodes: 249
26783: reward: 200.00, mean_100: 193.63, epsilon: 0.02, episodes: 250
26984: reward: 200.00, mean_100: 193.63, epsilon: 0.02, episodes: 251
27185: reward: 200.00, mean_100: 193.90, epsilon: 0.02, episodes: 252
27386: reward: 200.00, mean_100: 193.90, epsilon: 0.02, episodes: 253
27413: reward:  26.00, mean_100: 192.16, epsilon: 0.02, episodes: 254
27423: reward:   9.00, mean_100: 190.25, epsilon: 0.02, episodes: 255
27624: reward: 200.00, mean_100: 190.25, epsilon: 0.02, episodes: 256
27825: reward: 200.00, mean_100: 190.25, epsilon: 0.02, episodes: 257
28026: reward: 200.00, mean_100: 190.25, epsilon: 0.02, episodes: 258
28227: reward: 200.00, mean_100: 190.92, epsilon: 0.02, episodes: 259
28428: reward: 200.00, mean_100: 190.98, epsilon: 0.02, episodes: 260
28629: reward: 200.00, mean_100: 191.20, epsilon: 0.02, episodes: 261
28830: reward: 200.00, mean_100: 191.20, epsilon: 0.02, episodes: 262
29031: reward: 200.00, mean_100: 191.20, epsilon: 0.02, episodes: 263
29232: reward: 200.00, mean_100: 191.36, epsilon: 0.02, episodes: 264
29433: reward: 200.00, mean_100: 191.36, epsilon: 0.02, episodes: 265
29634: reward: 200.00, mean_100: 191.72, epsilon: 0.02, episodes: 266
29835: reward: 200.00, mean_100: 191.72, epsilon: 0.02, episodes: 267
30036: reward: 200.00, mean_100: 193.41, epsilon: 0.02, episodes: 268
30237: reward: 200.00, mean_100: 193.41, epsilon: 0.02, episodes: 269
30351: reward: 113.00, mean_100: 192.54, epsilon: 0.02, episodes: 270
30361: reward:   9.00, mean_100: 190.63, epsilon: 0.02, episodes: 271
30371: reward:   9.00, mean_100: 188.72, epsilon: 0.02, episodes: 272
30381: reward:   9.00, mean_100: 186.81, epsilon: 0.02, episodes: 273
30399: reward:  17.00, mean_100: 184.98, epsilon: 0.02, episodes: 274
30437: reward:  37.00, mean_100: 183.35, epsilon: 0.02, episodes: 275
30449: reward:  11.00, mean_100: 181.46, epsilon: 0.02, episodes: 276
30460: reward:  10.00, mean_100: 179.56, epsilon: 0.02, episodes: 277
30472: reward:  11.00, mean_100: 178.02, epsilon: 0.02, episodes: 278
30483: reward:  10.00, mean_100: 176.12, epsilon: 0.02, episodes: 279
30611: reward: 127.00, mean_100: 175.55, epsilon: 0.02, episodes: 280
30629: reward:  17.00, mean_100: 173.91, epsilon: 0.02, episodes: 281
30759: reward: 129.00, mean_100: 173.20, epsilon: 0.02, episodes: 282
30904: reward: 144.00, mean_100: 172.64, epsilon: 0.02, episodes: 283
31070: reward: 165.00, mean_100: 172.29, epsilon: 0.02, episodes: 284
31271: reward: 200.00, mean_100: 172.29, epsilon: 0.02, episodes: 285
31472: reward: 200.00, mean_100: 172.47, epsilon: 0.02, episodes: 286
31673: reward: 200.00, mean_100: 172.47, epsilon: 0.02, episodes: 287
31874: reward: 200.00, mean_100: 172.47, epsilon: 0.02, episodes: 288
32075: reward: 200.00, mean_100: 172.47, epsilon: 0.02, episodes: 289
32276: reward: 200.00, mean_100: 172.47, epsilon: 0.02, episodes: 290
32477: reward: 200.00, mean_100: 172.47, epsilon: 0.02, episodes: 291
32678: reward: 200.00, mean_100: 172.65, epsilon: 0.02, episodes: 292
32879: reward: 200.00, mean_100: 172.65, epsilon: 0.02, episodes: 293
33080: reward: 200.00, mean_100: 172.65, epsilon: 0.02, episodes: 294
33281: reward: 200.00, mean_100: 172.65, epsilon: 0.02, episodes: 295
33482: reward: 200.00, mean_100: 172.65, epsilon: 0.02, episodes: 296
33683: reward: 200.00, mean_100: 172.65, epsilon: 0.02, episodes: 297
33884: reward: 200.00, mean_100: 172.65, epsilon: 0.02, episodes: 298
34085: reward: 200.00, mean_100: 172.65, epsilon: 0.02, episodes: 299
34286: reward: 200.00, mean_100: 172.65, epsilon: 0.02, episodes: 300
34487: reward: 200.00, mean_100: 172.80, epsilon: 0.02, episodes: 301
34688: reward: 200.00, mean_100: 173.42, epsilon: 0.02, episodes: 302
34889: reward: 200.00, mean_100: 173.42, epsilon: 0.02, episodes: 303
34997: reward: 107.00, mean_100: 172.49, epsilon: 0.02, episodes: 304
35198: reward: 200.00, mean_100: 172.63, epsilon: 0.02, episodes: 305
35399: reward: 200.00, mean_100: 172.63, epsilon: 0.02, episodes: 306
35600: reward: 200.00, mean_100: 172.63, epsilon: 0.02, episodes: 307
35801: reward: 200.00, mean_100: 172.63, epsilon: 0.02, episodes: 308
36002: reward: 200.00, mean_100: 172.63, epsilon: 0.02, episodes: 309
36203: reward: 200.00, mean_100: 172.63, epsilon: 0.02, episodes: 310
36404: reward: 200.00, mean_100: 172.63, epsilon: 0.02, episodes: 311
36605: reward: 200.00, mean_100: 172.68, epsilon: 0.02, episodes: 312
36806: reward: 200.00, mean_100: 172.88, epsilon: 0.02, episodes: 313
36959: reward: 152.00, mean_100: 172.40, epsilon: 0.02, episodes: 314
37160: reward: 200.00, mean_100: 172.40, epsilon: 0.02, episodes: 315
37361: reward: 200.00, mean_100: 172.40, epsilon: 0.02, episodes: 316
37562: reward: 200.00, mean_100: 172.40, epsilon: 0.02, episodes: 317
37763: reward: 200.00, mean_100: 172.40, epsilon: 0.02, episodes: 318
37964: reward: 200.00, mean_100: 172.40, epsilon: 0.02, episodes: 319
38165: reward: 200.00, mean_100: 172.40, epsilon: 0.02, episodes: 320
38366: reward: 200.00, mean_100: 172.40, epsilon: 0.02, episodes: 321
38567: reward: 200.00, mean_100: 172.40, epsilon: 0.02, episodes: 322
38768: reward: 200.00, mean_100: 172.40, epsilon: 0.02, episodes: 323
38969: reward: 200.00, mean_100: 172.40, epsilon: 0.02, episodes: 324
39170: reward: 200.00, mean_100: 172.40, epsilon: 0.02, episodes: 325
39371: reward: 200.00, mean_100: 172.80, epsilon: 0.02, episodes: 326
39572: reward: 200.00, mean_100: 172.80, epsilon: 0.02, episodes: 327
39773: reward: 200.00, mean_100: 172.80, epsilon: 0.02, episodes: 328
39974: reward: 200.00, mean_100: 172.80, epsilon: 0.02, episodes: 329
40175: reward: 200.00, mean_100: 172.80, epsilon: 0.02, episodes: 330
40376: reward: 200.00, mean_100: 172.91, epsilon: 0.02, episodes: 331
40577: reward: 200.00, mean_100: 173.12, epsilon: 0.02, episodes: 332
40695: reward: 117.00, mean_100: 172.29, epsilon: 0.02, episodes: 333
40896: reward: 200.00, mean_100: 172.29, epsilon: 0.02, episodes: 334
41097: reward: 200.00, mean_100: 172.29, epsilon: 0.02, episodes: 335
41298: reward: 200.00, mean_100: 172.29, epsilon: 0.02, episodes: 336
41498: reward: 199.00, mean_100: 172.28, epsilon: 0.02, episodes: 337
41508: reward:   9.00, mean_100: 170.37, epsilon: 0.02, episodes: 338
41519: reward:  10.00, mean_100: 168.47, epsilon: 0.02, episodes: 339
41529: reward:   9.00, mean_100: 166.56, epsilon: 0.02, episodes: 340
41538: reward:   8.00, mean_100: 164.64, epsilon: 0.02, episodes: 341
41548: reward:   9.00, mean_100: 162.73, epsilon: 0.02, episodes: 342
41558: reward:   9.00, mean_100: 160.82, epsilon: 0.02, episodes: 343
41568: reward:   9.00, mean_100: 158.91, epsilon: 0.02, episodes: 344
41578: reward:   9.00, mean_100: 157.00, epsilon: 0.02, episodes: 345
41616: reward:  37.00, mean_100: 155.37, epsilon: 0.02, episodes: 346
41625: reward:   8.00, mean_100: 153.45, epsilon: 0.02, episodes: 347
41636: reward:  10.00, mean_100: 151.55, epsilon: 0.02, episodes: 348
41647: reward:  10.00, mean_100: 149.65, epsilon: 0.02, episodes: 349
41657: reward:   9.00, mean_100: 147.74, epsilon: 0.02, episodes: 350
41668: reward:  10.00, mean_100: 145.84, epsilon: 0.02, episodes: 351
41678: reward:   9.00, mean_100: 143.93, epsilon: 0.02, episodes: 352
41689: reward:  10.00, mean_100: 142.03, epsilon: 0.02, episodes: 353
41701: reward:  11.00, mean_100: 141.88, epsilon: 0.02, episodes: 354
41726: reward:  24.00, mean_100: 142.03, epsilon: 0.02, episodes: 355
41736: reward:   9.00, mean_100: 140.12, epsilon: 0.02, episodes: 356
41747: reward:  10.00, mean_100: 138.22, epsilon: 0.02, episodes: 357
41948: reward: 200.00, mean_100: 138.22, epsilon: 0.02, episodes: 358
42101: reward: 152.00, mean_100: 137.74, epsilon: 0.02, episodes: 359
42301: reward: 199.00, mean_100: 137.73, epsilon: 0.02, episodes: 360
42464: reward: 162.00, mean_100: 137.35, epsilon: 0.02, episodes: 361
42665: reward: 200.00, mean_100: 137.35, epsilon: 0.02, episodes: 362
42824: reward: 158.00, mean_100: 136.93, epsilon: 0.02, episodes: 363
