steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_kl	average_policy_step_size
2001586	754	6628.533100366592	869.0	755.0	303.18494538995685	1490.0	540.0	233.47415	1.6978823140859605	0.004237354311626405	1.0
2050971	771	6790.864596128464	915.0	790.0	621.8476054826009	2650.0	520.0	36.25182	1.4493299508094788	0.00423551655607298	1.0
2100005	789	6955.849110841751	1444.0	1215.0	819.5283196245671	2840.0	610.0	40.318554	1.4407913099899887	0.004220432969741523	1.0
2151103	807	7129.411519765854	1021.0	995.0	396.7212847551512	1550.0	250.0	172.01566	1.3574053629636764	0.0042343710595741865	1.0
2201713	825	7297.665368795395	1307.0	1070.0	810.4052484199906	2820.0	520.0	90.129524	1.4672051701247693	0.004214535122737288	1.0
2250611	843	7461.86624789238	969.0	1020.0	358.9630126411974	1380.0	190.0	77.145515	1.2499782907664776	0.004221718080807477	1.0
2301875	859	7634.843032836914	1063.0	905.0	558.6899358718075	2000.0	320.0	137.7319	1.5592261607050895	0.004194245359394699	1.0
2350107	875	7797.36096572876	1042.0	1185.0	374.93110478237645	1480.0	390.0	15.254458	0.9685325884222984	0.004204136137850582	1.0
2400916	892	7969.619752645493	1481.0	1450.0	667.7566090192511	2750.0	640.0	92.5639	1.32293170940876	0.004216055509168655	1.0
2451085	909	8138.528866767883	1049.0	850.0	496.6655480971744	2240.0	640.0	120.57833	1.2413212090432644	0.004228258740622551	1.0
2502551	927	8308.923897504807	992.0	980.0	320.9292064545631	1540.0	520.0	111.88462	1.164447576880455	0.004256807982455939	1.0
2550248	944	8472.254095554352	1153.0	1165.0	434.92144884641715	1840.0	490.0	66.35456	1.262621407419443	0.004237714123446494	1.0
2602051	963	8642.143468141556	1058.0	1010.0	479.2308652645635	1980.0	590.0	43.09163	1.1932112597227096	0.004232650112826377	1.0
2651981	981	8810.394151210785	1180.0	980.0	391.01008796307144	1980.0	840.0	213.37384	1.3234377939105033	0.004216976468451321	1.0
