python3 03_pong_a2c_rollouts.py --cuda -n test0
AtariA2C(
  (conv): Sequential(
    (0): Conv2d(4, 32, kernel_size=(8, 8), stride=(4, 4))
    (1): ReLU()
    (2): Conv2d(32, 64, kernel_size=(4, 4), stride=(2, 2))
    (3): ReLU()
    (4): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1))
    (5): ReLU()
  )
  (policy): Sequential(
    (0): Linear(in_features=3136, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=6, bias=True)
  )
  (value): Sequential(
    (0): Linear(in_features=3136, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=1, bias=True)
  )
)
164096: done 175 games, mean reward -20.555, speed 933.55 f/s
164800: done 176 games, mean reward -20.555, speed 965.41 f/s
165248: done 177 games, mean reward -20.555, speed 964.30 f/s
165760: done 178 games, mean reward -20.545, speed 976.38 f/s
165952: done 179 games, mean reward -20.545, speed 914.40 f/s
166592: done 180 games, mean reward -20.535, speed 944.78 f/s
167040: done 181 games, mean reward -20.545, speed 931.79 f/s
172416: done 182 games, mean reward -20.545, speed 968.43 f/s
172800: done 183 games, mean reward -20.535, speed 960.53 f/s
173312: done 184 games, mean reward -20.515, speed 989.46 f/s
173760: done 185 games, mean reward -20.505, speed 965.75 f/s
174976: done 186 games, mean reward -20.485, speed 955.97 f/s
176064: done 187 games, mean reward -20.480, speed 955.95 f/s
177792: done 188 games, mean reward -20.490, speed 966.89 f/s
178752: done 189 games, mean reward -20.480, speed 972.18 f/s
179776: done 190 games, mean reward -20.480, speed 965.61 f/s
179840: done 191 games, mean reward -20.480, speed 824.57 f/s
180352: done 192 games, mean reward -20.470, speed 977.73 f/s
180480: done 193 games, mean reward -20.470, speed 904.95 f/s
182208: done 194 games, mean reward -20.460, speed 960.81 f/s
183168: done 195 games, mean reward -20.450, speed 957.39 f/s
183360: done 196 games, mean reward -20.430, speed 929.06 f/s
185728: done 197 games, mean reward -20.420, speed 967.73 f/s
187328: done 198 games, mean reward -20.440, speed 966.56 f/s
187840: done 199 games, mean reward -20.440, speed 947.74 f/s
188160: done 200 games, mean reward -20.440, speed 920.07 f/s
188480: done 201 games, mean reward -20.440, speed 942.87 f/s
188736: done 202 games, mean reward -20.440, speed 931.11 f/s
189760: done 203 games, mean reward -20.460, speed 946.32 f/s
191360: done 204 games, mean reward -20.470, speed 972.99 f/s
192448: done 205 games, mean reward -20.480, speed 953.67 f/s
192640: done 206 games, mean reward -20.480, speed 916.59 f/s
192832: done 207 games, mean reward -20.500, speed 926.87 f/s
194368: done 208 games, mean reward -20.500, speed 984.52 f/s
195584: done 209 games, mean reward -20.500, speed 982.07 f/s
196352: done 210 games, mean reward -20.500, speed 983.46 f/s
197440: done 211 games, mean reward -20.500, speed 987.14 f/s
198400: done 212 games, mean reward -20.520, speed 985.41 f/s
199808: done 213 games, mean reward -20.530, speed 983.00 f/s
200704: done 214 games, mean reward -20.530, speed 988.07 f/s
202752: done 215 games, mean reward -20.510, speed 971.48 f/s
204672: done 216 games, mean reward -20.510, speed 979.18 f/s
204928: done 217 games, mean reward -20.500, speed 961.31 f/s
205184: done 218 games, mean reward -20.490, speed 917.90 f/s
206208: done 219 games, mean reward -20.500, speed 944.30 f/s
207232: done 220 games, mean reward -20.510, speed 923.71 f/s
207488: done 221 games, mean reward -20.520, speed 904.08 f/s
208128: done 222 games, mean reward -20.510, speed 933.65 f/s
208320: done 223 games, mean reward -20.510, speed 889.64 f/s
209920: done 224 games, mean reward -20.510, speed 943.05 f/s
212288: done 225 games, mean reward -20.510, speed 938.92 f/s
212416: done 226 games, mean reward -20.510, speed 862.05 f/s
213184: done 227 games, mean reward -20.510, speed 914.78 f/s
213632: done 228 games, mean reward -20.510, speed 896.50 f/s
214720: done 229 games, mean reward -20.510, speed 903.72 f/s
218304: done 230 games, mean reward -20.500, speed 921.85 f/s
218752: done 231 games, mean reward -20.510, speed 902.35 f/s
219520: done 232 games, mean reward -20.510, speed 871.12 f/s
219776: done 233 games, mean reward -20.500, speed 853.06 f/s
220160: done 234 games, mean reward -20.500, speed 798.74 f/s
221504: done 235 games, mean reward -20.490, speed 929.91 f/s
221760: done 236 games, mean reward -20.480, speed 932.67 f/s
222272: done 237 games, mean reward -20.470, speed 938.99 f/s
223424: done 238 games, mean reward -20.470, speed 948.50 f/s
223488: done 239 games, mean reward -20.450, speed 868.67 f/s
226688: done 240 games, mean reward -20.450, speed 960.45 f/s
228032: done 241 games, mean reward -20.440, speed 935.71 f/s
228160: done 242 games, mean reward -20.450, speed 855.41 f/s
228352: done 243 games, mean reward -20.420, speed 889.29 f/s
228672: done 244 games, mean reward -20.410, speed 907.59 f/s
229312: done 245 games, mean reward -20.400, speed 924.55 f/s
231680: done 246 games, mean reward -20.410, speed 949.74 f/s
232640: done 247 games, mean reward -20.420, speed 935.80 f/s
232768: done 248 games, mean reward -20.420, speed 916.24 f/s
232832: done 249 games, mean reward -20.420, speed 871.43 f/s
233728: done 250 games, mean reward -20.430, speed 947.85 f/s
234560: done 251 games, mean reward -20.430, speed 920.35 f/s
236032: done 252 games, mean reward -20.420, speed 955.91 f/s
237312: done 253 games, mean reward -20.410, speed 958.23 f/s
237632: done 254 games, mean reward -20.410, speed 909.86 f/s
238080: done 255 games, mean reward -20.400, speed 949.14 f/s
240704: done 256 games, mean reward -20.400, speed 922.74 f/s
241728: done 257 games, mean reward -20.410, speed 943.15 f/s
242560: done 258 games, mean reward -20.410, speed 961.09 f/s
